City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Kloulklubed,PW,2022-06-01 17:57:04,7.0419,134.2556,83.88,73,33,13.78
179,Ilulissat,GL,2022-06-01 17:57:04,69.2167,-51.1,33.93,69,24,4.05
180,Roebourne,AU,2022-06-01 17:57:04,-20.7833,117.1333,64.15,71,71,10.58
181,Bredy,RU,2022-06-01 17:57:05,52.4153,60.3411,56.17,58,11,4.27
182,Bakchar,RU,2022-06-01 17:58:05,57.0186,82.0711,44.58,93,99,7.16
183,Nanortalik,GL,2022-06-01 17:58:06,60.1432,-45.2371,40.71,76,100,1.99
184,Tautira,PF,2022-06-01 17:58:06,-17.7333,-149.15,79.02,73,100,14.09
185,Cururupu,BR,2022-06-01 17:58:06,-1.8283,-44.8683,85.01,65,40,5.64
186,Mnogovershinnyy,RU,2022-06-01 17:58:07,53.9353,139.9242,41.92,88,85,2.71
187,Sabha,LY,2022-06-01 17:58:07,27.0377,14.4283,92.17,12,0,12.44
188,Ziniare,BF,2022-06-01 17:58:08,12.5822,-1.2983,102.24,18,18,7.58
189,Mandera,KE,2022-06-01 17:58:08,3.9366,41.867,83.23,50,72,9.86
190,Srednekolymsk,RU,2022-06-01 17:58:08,67.45,153.6833,59.2,53,100,7.99
191,Carutapera,BR,2022-06-01 17:58:09,-1.195,-46.02,85.3,64,61,8.08
192,Ketchikan,US,2022-06-01 17:58:09,55.3422,-131.6461,52.27,87,100,4.61
193,Poum,NC,2022-06-01 17:58:10,-20.2333,164.0167,76.35,79,29,13.91
194,Jacareacanga,BR,2022-06-01 17:58:10,-6.2222,-57.7528,87.51,57,68,3.96
195,Simplicio Mendes,BR,2022-06-01 17:58:10,-7.8539,-41.9103,90.61,35,23,9.64
196,Muhos,FI,2022-06-01 17:58:11,64.808,25.9931,56.98,66,89,5.53
197,Dasoguz,TM,2022-06-01 17:58:11,41.8363,59.9666,85.95,28,0,2.3
198,Bournemouth,GB,2022-06-01 17:58:12,50.7205,-1.8795,64.27,68,40,5.75
199,Sibu,MY,2022-06-01 17:58:12,2.3,111.8167,73.71,94,40,0.0
200,Verkhnyaya Balkariya,RU,2022-06-01 17:58:12,43.1279,43.4573,65.32,89,91,4.61
201,Hofn,IS,2022-06-01 17:58:13,64.2539,-15.2082,53.62,76,75,6.91
202,Marienburg,PL,2022-06-01 17:58:13,54.0359,19.0266,59.88,83,78,7.43
203,Saint-Philippe,RE,2022-06-01 17:58:14,-21.3585,55.7679,72.99,79,58,13.04
204,Gorontalo,ID,2022-06-01 17:58:14,0.5412,123.0595,74.66,93,11,2.33
205,Chapais,CA,2022-06-01 17:58:14,49.7834,-74.8492,58.78,59,99,8.97
206,Jaguaquara,BR,2022-06-01 17:58:15,-13.5306,-39.9708,78.37,49,11,6.62
207,Show Low,US,2022-06-01 17:55:09,34.2542,-110.0298,76.08,18,0,3.0
208,Itarema,BR,2022-06-01 17:58:15,-2.9248,-39.9167,82.18,76,71,12.59
209,Banyo,CM,2022-06-01 17:58:16,6.75,11.8167,67.6,91,90,0.65
210,Lagoa,PT,2022-06-01 17:58:16,39.05,-27.9833,61.14,82,84,11.12
211,Bara,NG,2022-06-01 17:58:16,10.3744,10.7288,91.81,30,57,2.1
212,Acajutla,SV,2022-06-01 17:58:17,13.5928,-89.8275,85.01,56,100,11.74
213,Richards Bay,ZA,2022-06-01 17:58:17,-28.783,32.0377,59.9,55,0,5.46
214,Corn Island,NI,2022-06-01 17:58:18,12.1694,-83.0418,80.76,78,100,3.18
215,Souillac,MU,2022-06-01 17:58:18,-20.5167,57.5167,73.78,64,20,12.66
216,Calbuco,CL,2022-06-01 17:58:19,-41.768,-73.1273,38.41,60,5,3.69
217,Broken Hill,AU,2022-06-01 17:55:08,-31.95,141.4333,48.06,58,100,4.32
218,Baruun-Urt,MN,2022-06-01 17:58:19,46.6806,113.2792,61.07,58,100,0.85
