City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Peniche,PT,39.3558,-9.3811,69.3,84,12,8.03,few clouds
226,Dengfeng,CN,34.4553,113.0281,69.94,71,100,6.89,overcast clouds
227,Mvuma,ZW,-19.2792,30.5283,56.44,63,95,5.86,overcast clouds
228,Mattru,SL,7.6244,-11.8332,79.56,83,96,5.57,light rain
229,Saint-Augustin,CA,51.226,-58.6502,50.22,63,98,18.19,overcast clouds
230,Georgetown,MY,5.4112,100.3354,82.33,86,40,2.3,scattered clouds
231,San Quintin,MX,30.4833,-115.95,68.13,69,72,18.43,broken clouds
232,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,74,75,14.97,broken clouds
233,Porto De Moz,BR,-1.7483,-52.2383,87.15,59,99,4.12,overcast clouds
234,Illapel,CL,-31.6308,-71.1653,67.21,28,100,7.61,moderate rain
235,Bengkulu,ID,-3.8004,102.2655,75.76,89,100,3.18,moderate rain
236,Milosesti,RO,44.7333,27.2333,74.48,50,88,2.48,overcast clouds
237,Tiznit,MA,29.5833,-9.5,66.49,66,61,8.66,broken clouds
238,Biryusinsk,RU,55.9634,97.8235,43.77,98,100,2.51,light rain
239,Ligayan,PH,4.6533,119.4706,83.05,70,55,0.13,broken clouds
240,Betafo,MG,-19.8333,46.85,56.84,85,52,5.44,broken clouds
241,Wattegama,LK,6.7989,81.4808,75.54,89,98,6.67,overcast clouds
242,Sao Filipe,CV,14.8961,-24.4956,77.81,65,9,9.46,clear sky
243,Vao,NC,-22.6667,167.4833,72.72,70,32,10.6,scattered clouds
244,Linxia,CN,35.6003,103.2064,54.5,67,69,3.18,broken clouds
245,Cangucu,BR,-31.395,-52.6756,61.81,69,57,10.11,broken clouds
246,Puteyets,RU,65.1716,57.091,51.28,35,4,8.03,clear sky
247,Taltal,CL,-25.4,-70.4833,67.17,40,34,5.03,scattered clouds
248,Lakes Entrance,AU,-37.8811,147.981,55.17,53,6,12.73,clear sky
249,Ancud,CL,-41.8697,-73.8203,47.23,77,93,2.68,overcast clouds
250,Soe,ID,-9.8607,124.284,65.89,94,93,3.2,overcast clouds
251,Faanui,PF,-16.4833,-151.75,80.33,74,17,15.57,light rain
252,Dingle,PH,10.9995,122.6711,77.36,83,95,4.5,heavy intensity rain
253,Traverse City,US,44.7631,-85.6206,73.47,28,20,8.05,few clouds
254,Cabinda,AO,-5.55,12.2,74.68,90,30,6.73,scattered clouds
255,Huarmey,PE,-10.0681,-78.1522,70.93,71,65,10.47,broken clouds
256,Tura,IN,25.5198,90.2201,73.44,96,56,5.39,broken clouds
257,Nouadhibou,MR,20.931,-17.0347,71.58,68,80,20.71,sand
258,Fairbanks,US,64.8378,-147.7164,69.1,42,20,12.66,few clouds
259,Havoysund,NO,70.9963,24.6622,48.43,94,100,10.16,overcast clouds
260,Le Vauclin,MQ,14.5452,-60.8388,87.85,70,75,16.11,broken clouds
261,Eldorado,BR,-23.7869,-54.2836,69.71,70,88,9.86,overcast clouds
262,Poronaysk,RU,49.2167,143.1167,37.85,93,75,4.79,broken clouds
263,Namatanai,PG,-3.6667,152.4333,78.67,76,99,4.72,overcast clouds
264,Batemans Bay,AU,-35.7167,150.1833,52.11,71,6,7.81,clear sky
265,Baculin,PH,7.4525,126.5842,77.81,86,61,4.14,broken clouds
266,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,14.97,light rain
267,Atambua,ID,-9.1061,124.8925,73.18,87,98,2.44,overcast clouds
268,Gushikawa,JP,26.3544,127.8686,78.8,100,40,8.05,scattered clouds
269,Kaniama,CD,-7.5667,24.1833,75.72,45,50,4.92,scattered clouds
270,Farkhor,TJ,37.4922,69.4036,75.63,20,0,0.13,clear sky
271,Sisimiut,GL,66.9395,-53.6735,51.12,41,58,12.06,broken clouds
272,Carnarvon,AU,-24.8667,113.6333,68.54,39,100,14.45,overcast clouds
273,Portland,US,45.5234,-122.6762,64.38,83,100,9.22,light rain
274,Awbari,LY,26.5921,12.7805,88.34,14,0,10.69,clear sky
275,Gotsu,JP,35.0,132.2167,66.0,62,90,4.94,overcast clouds
276,Dickinson,US,29.4608,-95.0513,91.08,65,75,4.61,broken clouds
277,Puerto Ayacucho,VE,5.6639,-67.6236,75.09,91,100,6.53,overcast clouds
278,Subang,ID,-7.1277,108.5283,72.05,96,98,3.02,overcast clouds
279,Ndele,CF,8.4109,20.6473,74.23,76,89,3.31,overcast clouds
280,Gutierrez Zamora,MX,20.45,-97.0833,94.82,53,2,11.25,clear sky
281,Mae Chan,TH,20.1467,99.8526,78.46,96,98,1.74,overcast clouds
282,Kirkwood,US,38.5834,-90.4068,85.48,39,75,8.05,broken clouds
283,Mishan,CN,45.55,131.8833,48.81,89,90,8.81,overcast clouds
284,Qeshm,IR,26.9581,56.2719,96.67,48,0,9.84,clear sky
285,Batagay,RU,67.6333,134.6333,59.36,54,26,6.17,scattered clouds
286,El Reno,US,35.5323,-97.955,82.18,67,75,12.66,broken clouds
287,Brae,GB,60.3964,-1.353,51.91,82,67,11.63,broken clouds
288,Wangou,CN,42.0623,126.9127,53.22,98,100,4.54,light rain
289,Manadhoo,MV,5.7667,73.3833,82.63,79,8,16.64,clear sky
290,Khorixas,NA,-20.3667,14.9667,65.88,29,79,10.0,broken clouds
291,Zapolyarnyy,RU,69.4154,30.8136,52.88,95,100,3.02,overcast clouds
292,Ulaanbaatar,MN,47.9077,106.8832,33.93,80,0,2.24,clear sky
293,Puerto Leguizamo,CO,-0.1934,-74.7819,88.65,52,94,1.86,overcast clouds
294,Strezhevoy,RU,60.7333,77.5889,33.75,97,100,11.74,overcast clouds
295,Karpogory,RU,64.0019,44.4451,54.43,96,100,3.56,overcast clouds
296,Dunedin,NZ,-45.8742,170.5036,47.8,74,94,17.0,overcast clouds
297,Maple Creek,CA,49.9168,-109.4848,72.01,24,97,17.27,overcast clouds
298,Vicksburg,US,32.3526,-90.8779,84.43,53,40,6.91,scattered clouds
299,Ambatofinandrahana,MG,-20.55,46.8,53.38,94,26,3.96,scattered clouds
300,Khani,GE,41.9563,42.9566,60.37,93,62,6.58,broken clouds
301,Mitchell,US,43.7094,-98.0298,69.78,73,40,10.36,scattered clouds
302,Okha,RU,53.5739,142.9478,39.22,85,42,6.85,scattered clouds
303,Coquimbo,CL,-29.9533,-71.3436,62.33,44,0,3.44,clear sky
304,Amparafaravola,MG,-17.5833,48.2167,58.12,97,59,5.48,broken clouds
305,Lavrentiya,RU,65.5833,-171.0,40.15,82,71,6.42,broken clouds
306,Dunmore Town,BS,25.5,-76.65,79.47,73,100,16.62,overcast clouds
307,Walvis Bay,NA,-22.9575,14.5053,77.95,19,26,6.91,scattered clouds
308,Bowen,AU,-20.0167,148.2333,69.46,91,64,5.82,broken clouds
309,Itarema,BR,-2.9248,-39.9167,81.95,72,61,6.96,broken clouds
310,Yatou,CN,37.15,122.3833,64.26,92,82,12.33,light rain
311,Znojmo,CZ,48.8555,16.0488,70.02,90,30,12.41,heavy intensity rain
312,Purpe,RU,64.4803,76.6897,34.3,95,100,18.52,overcast clouds
