City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Black River,JM,86.31,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
393,Kozluk,TR,79.05,clear sky,38.1938,41.4885,roni rezisdans kozluk apart otel
394,Mahibadhoo,MV,83.5,broken clouds,3.7833,72.9667,Omadhoo Inn
398,Puerto Lempira,HN,89.74,broken clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
403,Sao Gabriel Da Cachoeira,BR,80.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
406,Lazaro Cardenas,MX,84.45,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
409,Muisne,EC,77.09,light rain,0.6,-80.0333,Quinta Samay
410,Caravelas,BR,76.78,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
414,Jasper,US,80.87,scattered clouds,37.2001,-94.3502,Guest House Motel
415,Palmer,US,82.62,broken clouds,42.1584,-72.3287,Wedgewood Motel
418,Breves,BR,84.52,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
419,Robertsport,LR,81.75,light rain,6.7533,-11.3686,Kwepunha Retreat
420,Beaumont,US,89.64,scattered clouds,30.0861,-94.1019,Super 8 by Wyndham Beaumont
421,Romans-Sur-Isere,FR,86.77,clear sky,45.0464,5.0562,le clos des tanneurs
426,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
429,Ugoofaaru,MV,82.71,clear sky,5.6667,73.0,Ungoofaaru Inn
431,Akyab,MM,80.78,broken clouds,20.15,92.9,Hotel Memory
432,Watertown,US,82.53,few clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
436,Jalu,LY,88.56,clear sky,29.0331,21.5482,صاحبة الفخامة
438,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
439,Sikeston,US,85.89,clear sky,36.8767,-89.5879,Drury Inn & Suites Sikeston
440,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
443,Florence,IT,88.54,broken clouds,43.7667,11.25,Hotel Nuova Italia
444,Dumas,US,84.34,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
